psgc_10_digit,name,geographic_level,urban_rural,correspondence_code,income_classification,municipality_psgc_code,province_name
1900701001,Aguada,Bgy,U,150701001,,1900701,Basilan
1900701002,Balaktasan,Bgy,R,150701002,,1900701,Basilan
1900701003,Binuangan,Bgy,R,150701003,,1900701,Basilan
1900701004,Cabunbata,Bgy,R,150701004,,1900701,Basilan
1900701005,Calvario,Bgy,U,150701005,,1900701,Basilan
1900701006,Kapatagan Grande,Bgy,R,150701006,,1900701,Basilan
1900701007,Kaumpurnah,Bgy,U,150701007,,1900701,Basilan
1900701008,Kumalarang,Bgy,R,150701008,,1900701,Basilan
1900701009,Malamawi,Bgy,M,150701009,,1900701,Basilan
1900701010,Menas,Bgy,R,150701010,,1900701,Basilan
1900701011,Panunsulan,Bgy,R,150701011,,1900701,Basilan
1900701012,Poblacion,Bgy,U,150701012,,1900701,Basilan
1900701013,San Rafael,Bgy,R,150701013,,1900701,Basilan
1900701014,Santa Cruz,Bgy,U,150701014,,1900701,Basilan
1900701015,Santa Maria,Bgy,R,150701015,,1900701,Basilan
1900701016,Tampalan,Bgy,R,150701016,,1900701,Basilan
1900701017,Timpul,Bgy,R,150701017,,1900701,Basilan
1900701018,Baluno,Bgy,R,150701018,,1900701,Basilan
1900701019,Begang,Bgy,R,150701019,,1900701,Basilan
1900701020,Bitas,Bgy,R,150701020,,1900701,Basilan
1900701021,Bobo,Bgy,R,150701021,,1900701,Basilan
1900701022,Bombon,Bgy,R,150701022,,1900701,Basilan
1900701023,Cacao,Bgy,R,150701023,,1900701,Basilan
1900701024,Calet,Bgy,R,150701024,,1900701,Basilan
1900701025,Carbon,Bgy,U,150701025,,1900701,Basilan
1900701026,Diki,Bgy,R,150701026,,1900701,Basilan
1900701027,Doña Ramona T. Alano,Bgy,U,150701027,,1900701,Basilan
1900701028,Isabela Eastside,Bgy,U,150701028,,1900701,Basilan
1900701029,Isabela Westside,Bgy,U,150701029,,1900701,Basilan
1900701030,Kapatagan Chico,Bgy,R,150701030,,1900701,Basilan
1900701031,La Piedad (Pob.),Bgy,U,150701031,,1900701,Basilan
1900701032,Lampinigan,Bgy,R,150701032,,1900701,Basilan
1900701033,Lanawan,Bgy,R,150701033,,1900701,Basilan
1900701034,Lukbuton,Bgy,R,150701034,,1900701,Basilan
1900701035,Lumbang,Bgy,R,150701035,,1900701,Basilan
1900701036,Makiri,Bgy,R,150701036,,1900701,Basilan
1900701037,Malimplong,Bgy,R,150701037,,1900701,Basilan
1900701038,Marketsite,Bgy,U,150701038,,1900701,Basilan
1900701039,Marang-Marang,Bgy,R,150701039,,1900701,Basilan
1900701040,Mayasang,Bgy,R,150701040,,1900701,Basilan
1900701041,Menzi,Bgy,R,150701041,,1900701,Basilan
1900701042,Pananka-an,Bgy,R,150701042,,1900701,Basilan
1900701043,Panigayan,Bgy,R,150701043,,1900701,Basilan
1900701044,Port Area,Bgy,U,150701044,,1900701,Basilan
1900701045,Riverside,Bgy,R,150701045,,1900701,Basilan
1900701046,Kapuk,Bgy,R,150701046,,1900701,Basilan
1900701047,Masone,Bgy,R,150701047,,1900701,Basilan
1900701048,Sunrise Village,Bgy,R,150701048,,1900701,Basilan
1900701049,Panigayan East,Bgy,R,150701049,,1900701,Basilan
1900702001,Bato,Bgy,R,150702001,,1900702,Basilan
1900702002,Bohebessey,Bgy,R,150702002,,1900702,Basilan
1900702003,Boheibu,Bgy,R,150702003,,1900702,Basilan
1900702004,Bohemalaing,Bgy,R,150702004,,1900702,Basilan
1900702005,Bohenange,Bgy,R,150702005,,1900702,Basilan
1900702006,Boheyakan,Bgy,R,150702006,,1900702,Basilan
1900702007,Calugusan,Bgy,R,150702007,,1900702,Basilan
1900702008,Colonia,Bgy,R,150702008,,1900702,Basilan
1900702009,Lebbuh,Bgy,R,150702009,,1900702,Basilan
1900702010,Limbatong,Bgy,R,150702010,,1900702,Basilan
1900702011,Luksumbang,Bgy,R,150702011,,1900702,Basilan
1900702012,Malinis,Bgy,U,150702012,,1900702,Basilan
1900702013,Malo-ong San Jose,Bgy,R,150702013,,1900702,Basilan
1900702014,Matibay,Bgy,U,150702014,,1900702,Basilan
1900702015,Sengal,Bgy,U,150702015,,1900702,Basilan
1900702016,Simbangon,Bgy,R,150702016,,1900702,Basilan
1900702017,Arco,Bgy,R,150702017,,1900702,Basilan
1900702018,Baas,Bgy,R,150702018,,1900702,Basilan
1900702019,Balagtasan,Bgy,U,150702019,,1900702,Basilan
1900702020,Balas,Bgy,R,150702020,,1900702,Basilan
1900702021,Baluco,Bgy,R,150702021,,1900702,Basilan
1900702022,Boheflaur,Bgy,R,150702022,,1900702,Basilan
1900702023,Boheyawa,Bgy,R,150702023,,1900702,Basilan
1900702024,Buahan,Bgy,R,150702024,,1900702,Basilan
1900702025,Bulanting,Bgy,R,150702025,,1900702,Basilan
1900702026,Calisutan,Bgy,R,150702026,,1900702,Basilan
1900702027,Campo Uno,Bgy,R,150702027,,1900702,Basilan
1900702028,Danit-Tubo,Bgy,R,150702028,,1900702,Basilan
1900702029,Kulaybato,Bgy,U,150702029,,1900702,Basilan
1900702030,Limo-ok,Bgy,U,150702030,,1900702,Basilan
1900702031,Lo-ok,Bgy,R,150702031,,1900702,Basilan
1900702032,Lukbuton,Bgy,R,150702032,,1900702,Basilan
1900702033,Maganda,Bgy,U,150702033,,1900702,Basilan
1900702034,Malakas,Bgy,U,150702034,,1900702,Basilan
1900702035,Malo-ong Canal,Bgy,R,150702035,,1900702,Basilan
1900702036,Malubog,Bgy,R,150702036,,1900702,Basilan
1900702037,Parangbasak,Bgy,R,150702037,,1900702,Basilan
1900702038,Sabong,Bgy,R,150702038,,1900702,Basilan
1900702039,San Jose,Bgy,R,150702039,,1900702,Basilan
1900702040,Santa Clara,Bgy,U,150702040,,1900702,Basilan
1900702041,Tandong Ahas,Bgy,R,150702041,,1900702,Basilan
1900702042,Tubo-Tubo,Bgy,R,150702042,,1900702,Basilan
1900702043,Ubit,Bgy,R,150702043,,1900702,Basilan
1900702044,Ulame,Bgy,R,150702044,,1900702,Basilan
1900702045,Baungos,Bgy,R,150702045,,1900702,Basilan
1900702046,Maligaya,Bgy,R,150702046,,1900702,Basilan
1900702047,San Rafael,Bgy,R,150702047,,1900702,Basilan
1900702048,Santa Fe,Bgy,R,150702048,,1900702,Basilan
1900702049,Tambo,Bgy,R,150702049,,1900702,Basilan
1900702050,Tipotipo,Bgy,R,150702050,,1900702,Basilan
1900703001,Atong-Atong,Bgy,R,150703001,,1900703,Basilan
1900703002,Lower Manggas,Bgy,R,150703002,,1900703,Basilan
1900703003,Bulanza,Bgy,R,150703003,,1900703,Basilan
1900703004,Calugusan,Bgy,R,150703004,,1900703,Basilan
1900703005,Canas,Bgy,R,150703005,,1900703,Basilan
1900703006,Landugan,Bgy,R,150703006,,1900703,Basilan
1900703007,Lantawan Proper,Bgy,R,150703007,,1900703,Basilan
1900703008,Luukbungsod,Bgy,R,150703008,,1900703,Basilan
1900703009,Matarling,Bgy,R,150703009,,1900703,Basilan
1900703010,Bagbagon,Bgy,R,150703010,,1900703,Basilan
1900703011,Baungis,Bgy,R,150703011,,1900703,Basilan
1900703012,Bilocbiloc,Bgy,R,150703012,,1900703,Basilan
1900703013,Bohe-Fluan,Bgy,R,150703013,,1900703,Basilan
1900703014,Boolo-Boolo,Bgy,R,150703014,,1900703,Basilan
1900703015,Borong,Bgy,R,150703015,,1900703,Basilan
1900703016,Bubuan,Bgy,R,150703016,,1900703,Basilan
1900703017,Bulansa Proper,Bgy,R,150703017,,1900703,Basilan
1900703018,Tairan,Bgy,R,150703018,,1900703,Basilan
1900703019,Lahat-Lahat,Bgy,R,150703019,,1900703,Basilan
1900703020,Lawila,Bgy,R,150703020,,1900703,Basilan
1900703021,Matikang,Bgy,R,150703021,,1900703,Basilan
1900703022,Panyungan,Bgy,R,150703022,,1900703,Basilan
1900703023,Sangbay Big,Bgy,R,150703023,,1900703,Basilan
1900703024,Sangbay Small,Bgy,R,150703024,,1900703,Basilan
1900703025,Tausan,Bgy,R,150703025,,1900703,Basilan
1900704001,Batungal,Bgy,R,150704001,,1900704,Basilan
1900704002,Calang Canas,Bgy,R,150704002,,1900704,Basilan
1900704003,Guiong,Bgy,R,150704003,,1900704,Basilan
1900704004,Mahayahay,Bgy,R,150704004,,1900704,Basilan
1900704005,Maluso Proper,Bgy,R,150704005,,1900704,Basilan
1900704006,Port Holland Zone I,Bgy,U,150704006,,1900704,Basilan
1900704007,Port Holland Zone II,Bgy,U,150704007,,1900704,Basilan
1900704008,Townsite,Bgy,U,150704008,,1900704,Basilan
1900704009,Abong-Abong,Bgy,R,150704009,,1900704,Basilan
1900704010,Mahayahay Upper (Zone II),Bgy,R,150704010,,1900704,Basilan
1900704011,Biha,Bgy,R,150704011,,1900704,Basilan
1900704012,Bohe-Suyak,Bgy,R,150704012,,1900704,Basilan
1900704013,Carama,Bgy,R,150704013,,1900704,Basilan
1900704014,Gaunan,Bgy,R,150704014,,1900704,Basilan
1900704015,Jerusalem,Bgy,R,150704015,,1900704,Basilan
1900704016,Lower Port Holland,Bgy,U,150704016,,1900704,Basilan
1900704017,Lupah Abu,Bgy,R,150704017,,1900704,Basilan
1900704018,Maindang,Bgy,R,150704018,,1900704,Basilan
1900704019,Radja,Bgy,R,150704019,,1900704,Basilan
1900704020,Taberlongan,Bgy,R,150704020,,1900704,Basilan
1900705001,Buli-Buli,Bgy,R,150705001,,1900705,Basilan
